Ref,Val,Package,PosX,PosY,Rot,Side
"C71","100nF","C_0201_0603Metric",12.687300,2.933700,0.000000,bottom
"FB1","600R","L_0402_1005Metric",11.440000,19.879999,90.000000,bottom
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",2.917000,16.955000,0.000000,bottom
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",46.492000,21.855000,0.000000,bottom
"FID5","Fiducial","Fiducial_0.75mm_Mask1.5mm",46.092000,3.280000,0.000000,bottom
"R3","50R","R_0201_0603Metric",21.267000,10.980000,270.000000,bottom
"R6","50R","R_0201_0603Metric",20.592000,10.980000,270.000000,bottom
"R19","240R","R_0402_1005Metric",37.592000,14.405000,0.000000,bottom
"R27","4.7k","R_0201_0603Metric",21.467000,15.480000,270.000000,bottom
"R28","10k","R_0201_0603Metric",11.217000,18.255000,180.000000,bottom
"R31","1.5k","R_0201_0603Metric",27.139900,6.057900,90.000000,bottom
"RN1","50R","R_Array_Convex_4x0402",36.917000,18.880000,270.000000,bottom
"RN2","50R","R_Array_Convex_4x0402",42.067000,18.880000,270.000000,bottom
"RN3","50R","R_Array_Convex_4x0402",44.340000,14.380000,180.000000,bottom
"RN4","50R","R_Array_Convex_4x0402",34.740000,15.705000,0.000000,bottom
"RN5","50R","R_Array_Convex_4x0402",44.340000,17.180000,180.000000,bottom
"RN6","50R","R_Array_Convex_4x0402",44.390000,11.180000,180.000000,bottom
"RN7","10K","R_Array_Convex_4x0402",8.190000,20.004999,90.000000,bottom
"RN8","50R","R_Array_Convex_4x0402",39.492000,18.880000,270.000000,bottom
"RN9","10K","R_Array_Convex_4x0402",18.942000,9.730000,90.000000,bottom
"RN10","50R","R_Array_Convex_4x0402",19.792000,14.180000,270.000000,bottom
"U9","74HC4067BQ","Texas_RGY_R-PVQFN-N24_EP2.05x3.1mm",22.382000,5.670000,90.000000,bottom
